reference,edition_id,sender_id,sender,receiver_id,receiver,date,place_id,place
https://edition-humboldt.de/H0016601,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,1851-05-13,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0016607,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,1851-06-15,http://sws.geonames.org/2852458,Potsdam
https://edition-humboldt.de/H0019725,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118750321,Johann Moritz Rugendas,1851-10-20,http://sws.geonames.org/6295638,Sanssouci
https://edition-humboldt.de/H0016465,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118755234,Adolph von Schlagintweit,http://d-nb.info/gnd/118554700,Alexander von Humboldt,1851-12-18,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0016606,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,1852-01-28,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0016443,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/119074117,Hermann Schlagintweit-Sakünlünski,http://d-nb.info/gnd/118554700,Alexander von Humboldt,1852-03-19,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0016531,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,http://d-nb.info/gnd/118554700,Alexander von Humboldt,1852-05-03,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0016461,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118755234,Adolph von Schlagintweit,http://d-nb.info/gnd/118554700,Alexander von Humboldt,1852-06-02,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0016459,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118755234,Adolph von Schlagintweit,1852-08-01,http://sws.geonames.org/2852458,Potsdam
https://edition-humboldt.de/H0016439,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/119074117,Hermann Schlagintweit-Sakünlünski,http://d-nb.info/gnd/118554700,Alexander von Humboldt,1852-08-01,http://sws.geonames.org/2950159,
